Voltage,Current
-30.0,4.99707e-08
-29.8,4.29938e-08
-29.6,3.93023e-08
-29.4,3.68301e-08
-29.2,3.45966e-08
-29.0,3.27255e-08
-28.8,3.11075e-08
-28.6,2.96958e-08
-28.4,2.83421e-08
-28.2,2.71842e-08
-28.0,2.61428e-08
-27.8,2.51481e-08
-27.6,2.42172e-08
-27.4,2.33476e-08
-27.2,2.24742e-08
-27.0,2.16309e-08
-26.8,2.08396e-08
-26.6,2.01177e-08
-26.4,1.94124e-08
-26.2,1.8748e-08
-26.0,1.81101e-08
-25.8,1.75115e-08
-25.6,1.69808e-08
-25.4,1.64761e-08
-25.2,1.5977e-08
-25.0,1.55293e-08
-24.8,1.50921e-08
-24.6,1.4696e-08
-24.4,1.42977e-08
-24.2,1.39148e-08
-24.0,1.35523e-08
-23.8,1.3218e-08
-23.6,1.29886e-08
-23.4,1.25821e-08
-23.2,1.22898e-08
-23.0,1.19929e-08
-22.8,1.17999e-08
-22.6,1.14724e-08
-22.4,1.1237e-08
-22.2,1.11064e-08
-22.0,1.08581e-08
-21.8,1.05939e-08
-21.6,1.05107e-08
-21.4,1.02901e-08
-21.2,1.0172e-08
-21.0,1.00452e-08
-20.8,1.0017e-08
-20.6,9.9122e-09
-20.4,9.7838e-09
-20.2,9.6508e-09
-20.0,9.5315e-09
-19.8,9.401e-09
-19.6,9.2688e-09
-19.4,9.153e-09
-19.2,9.0362e-09
-19.0,8.908e-09
-18.8,8.7933e-09
-18.6,8.76112e-09
-18.4,8.17509e-09
-18.2,8.01748e-09
-18.0,7.85122e-09
-17.8,7.68173e-09
-17.6,7.53978e-09
-17.4,7.42132e-09
-17.2,7.28677e-09
-17.0,7.1561e-09
-16.8,7.03119e-09
-16.6,6.9027e-09
-16.4,6.78619e-09
-16.2,6.66896e-09
-16.0,6.53929e-09
-15.8,6.41214e-09
-15.6,6.29711e-09
-15.4,6.16347e-09
-15.2,6.03369e-09
-15.0,5.92077e-09
-14.8,5.94286e-09
-14.6,5.6694e-09
-14.4,5.5544e-09
-14.2,5.58417e-09
-14.0,5.31556e-09
-13.8,5.18448e-09
-13.6,5.05975e-09
-13.4,5.09339e-09
-13.2,4.82557e-09
-13.0,4.70911e-09
-12.8,4.58452e-09
-12.6,4.63234e-09
-12.4,4.36124e-09
-12.2,4.2553e-09
-12.0,4.29469e-09
-11.8,4.18519e-09
-11.6,3.92653e-09
-11.4,3.95878e-09
-11.2,3.70793e-09
-11.0,3.58897e-09
-10.8,3.64081e-09
-10.6,3.38299e-09
-10.4,3.4262e-09
-10.2,3.3241e-09
-10.0,3.06706e-09
-9.8,2.96759e-09
-9.6,3.05991e-09
-9.4,2.97024e-09
-9.2,2.71912e-09
-9.0,2.76555e-09
-8.8,2.67053e-09
-8.6,2.42521e-09
-8.4,2.3204e-09
-8.2,2.37093e-09
-8.0,2.13122e-09
-7.8,2.02803e-09
-7.6,2.08637e-09
-7.4,1.84492e-09
-7.2,1.7548e-09
-7.0,1.65772e-09
-6.8,1.7234e-09
-6.6,1.48921e-09
-6.4,1.3951e-09
-6.2,1.30881e-09
-6.0,1.37298e-09
-5.8,1.1445e-09
-5.6,1.05432e-09
-5.4,9.7507e-10
-5.2,8.9141e-10
-5.0,8.1706e-10
-4.8,7.3656e-10
-4.6,6.5345e-10
-4.4,9.4408e-10
-4.2,5.5003e-10
-4.0,4.6044e-10
-3.8,3.7178e-10
-3.6,2.9843e-10
-3.4,2.2071e-10
-3.2,1.5342e-10
-3.0,8.508e-11
-2.8,1.535e-11
-2.6,-4.998e-11
-2.4,-1.1775e-10
-2.2,-1.7597e-10
-2.0,-2.4196e-10
-1.8,-3.0121e-10
-1.6,-3.6257e-10
-1.4,-4.1532e-10
-1.2,-4.6863e-10
-1.0,-5.2882e-10
-0.8,-5.8045e-10
-0.6,-6.3448e-10
-0.4,-6.8484e-10
-0.2,-7.3788e-10
0.0,-7.9252e-10
0.2,-8.2607e-10
0.4,-8.7617e-10
0.6,-9.2075e-10
0.8,-9.6442e-10
1.0,-1.01065e-09
1.2,-1.04914e-09
1.4,-1.09418e-09
1.6,-1.1288e-09
1.8,-1.16704e-09
2.0,-1.19308e-09
2.2,-1.22613e-09
2.4,-1.25015e-09
2.6,-1.27461e-09
2.8,-1.30087e-09
3.0,-1.32345e-09
3.2,-1.35213e-09
3.4,-1.37162e-09
3.6,-1.3987e-09
3.8,-1.42111e-09
4.0,-1.44921e-09
4.2,-1.46917e-09
4.4,-1.49236e-09
4.6,-1.52203e-09
4.8,-1.54525e-09
5.0,-1.57325e-09
5.2,-1.59803e-09
5.4,-1.62999e-09
5.6,-1.66234e-09
5.8,-1.70336e-09
6.0,-1.74147e-09
6.2,-1.79065e-09
6.4,-1.85356e-09
6.6,-1.91741e-09
6.8,-1.9939e-09
7.0,-2.04202e-09
7.2,-2.07576e-09
7.4,-1.29378e-09
7.6,2.4343e-10
7.8,9.9425e-10
8.0,1.69374e-09
8.2,2.47709e-09
8.4,3.62619e-09
8.6,4.92469e-09
8.8,6.23638e-09
9.0,7.32089e-09
9.2,8.34793e-09
9.4,9.41586e-09
9.6,1.05233e-08
9.8,1.33179e-08
10.0,1.37815e-08
10.2,1.49465e-08
10.4,1.64448e-08
10.6,1.8043e-08
10.8,1.97202e-08
