Voltage,Current
15.0,-4.22731e-09
15.0,-1.29189e-09
15.0,1.23651e-09
15.0,3.80388e-09
15.0,6.11898e-09
15.0,8.2786e-09
15.0,1.03676e-08
15.0,1.23828e-08
15.0,1.43698e-08
15.0,1.63046e-08
15.0,1.82505e-08
15.0,2.01758e-08
15.0,2.2055e-08
15.0,2.39331e-08
15.0,2.57927e-08
15.0,2.75898e-08
15.0,2.94016e-08
15.0,3.11808e-08
15.0,3.29074e-08
15.0,3.46396e-08
15.0,3.63446e-08
15.0,3.79875e-08
15.0,3.9637e-08
15.0,4.12578e-08
15.0,4.28257e-08
15.0,4.43937e-08
15.0,4.59347e-08
15.0,4.74409e-08
15.0,4.89012e-08
15.0,5.03654e-08
15.0,5.17913e-08
15.0,5.31659e-08
15.0,5.45424e-08
15.0,5.58948e-08
15.0,5.71931e-08
15.0,5.84839e-08
15.0,5.9752e-08
15.0,6.09669e-08
15.0,6.21783e-08
15.0,6.33596e-08
15.0,6.44941e-08
15.0,6.56223e-08
15.0,6.67242e-08
15.0,6.77837e-08
15.0,6.88309e-08
15.0,6.98541e-08
15.0,7.08348e-08
15.0,7.18081e-08
15.0,7.27587e-08
15.0,7.36617e-08
15.0,7.45549e-08
15.0,7.54218e-08
15.0,7.62724e-08
15.0,7.70791e-08
15.0,7.78829e-08
15.0,7.86638e-08
15.0,7.94105e-08
15.0,8.0131e-08
15.0,8.08383e-08
15.0,8.15032e-08
15.0,8.21673e-08
15.0,8.28091e-08
15.0,8.3417e-08
15.0,8.40231e-08
15.0,8.46027e-08
15.0,8.51548e-08
15.0,8.56819e-08
15.0,8.62063e-08
15.0,8.66956e-08
15.0,8.71783e-08
15.0,8.76471e-08
15.0,8.80833e-08
15.0,8.85122e-08
15.0,8.89253e-08
15.0,8.9327e-08
15.0,8.96981e-08
15.0,9.00664e-08
15.0,9.04143e-08
15.0,9.07409e-08
15.0,9.10551e-08
15.0,9.13613e-08
15.0,9.16512e-08
15.0,9.19381e-08
15.0,9.21951e-08
15.0,9.24482e-08
15.0,9.26928e-08
15.0,9.29299e-08
15.0,9.31393e-08
15.0,9.33572e-08
15.0,9.35556e-08
15.0,9.37341e-08
15.0,9.39267e-08
15.0,9.40983e-08
15.0,9.42635e-08
15.0,9.44274e-08
15.0,9.45832e-08
15.0,9.47263e-08
15.0,9.48749e-08
15.0,9.5016e-08
15.0,9.51579e-08
15.0,9.52945e-08
15.0,9.54269e-08
15.0,9.55654e-08
15.0,9.56848e-08
15.0,9.58177e-08
15.0,9.59484e-08
15.0,9.60708e-08
15.0,9.62157e-08
15.0,9.63489e-08
15.0,9.64788e-08
15.0,9.66007e-08
15.0,9.67409e-08
15.0,9.68738e-08
15.0,9.70087e-08
15.0,9.713e-08
15.0,9.7246e-08
15.0,9.73697e-08
15.0,9.74891e-08
15.0,9.75995e-08
15.0,9.7721e-08
15.0,9.78502e-08
15.0,9.79644e-08
15.0,9.80879e-08
15.0,9.82019e-08
15.0,9.83251e-08
15.0,9.84386e-08
15.0,9.85634e-08
15.0,9.86738e-08
15.0,9.87874e-08
15.0,9.89069e-08
15.0,9.90173e-08
15.0,9.91271e-08
15.0,9.92547e-08
15.0,9.93653e-08
15.0,9.9481e-08
15.0,9.95949e-08
15.0,9.97078e-08
15.0,9.98248e-08
15.0,9.99317e-08
15.0,1.000385e-07
15.0,1.00153e-07
15.0,1.0026e-07
15.0,1.003735e-07
15.0,1.004822e-07
15.0,1.005874e-07
15.0,1.006989e-07
15.0,1.008119e-07
15.0,1.009055e-07
15.0,1.010171e-07
15.0,1.011206e-07
15.0,1.012285e-07
15.0,1.013264e-07
15.0,1.014394e-07
15.0,1.015368e-07
15.0,1.016343e-07
15.0,1.017399e-07
15.0,1.018333e-07
15.0,1.019437e-07
15.0,1.020465e-07
15.0,1.021557e-07
15.0,1.022619e-07
15.0,1.023688e-07
15.0,1.024704e-07
15.0,1.025824e-07
15.0,1.02698e-07
15.0,1.027939e-07
15.0,1.029017e-07
15.0,1.03001e-07
15.0,1.031199e-07
15.0,1.032348e-07
15.0,1.033535e-07
15.0,1.034554e-07
15.0,1.035575e-07
15.0,1.036705e-07
15.0,1.037795e-07
15.0,1.038964e-07
15.0,1.040127e-07
15.0,1.041302e-07
15.0,1.04268e-07
15.0,1.04396e-07
15.0,1.04502e-07
15.0,1.04605e-07
15.0,1.047e-07
15.0,1.04791e-07
15.0,1.04865e-07
15.0,1.0494e-07
15.0,1.04996e-07
15.0,1.05051e-07
15.0,1.05116e-07
15.0,1.05177e-07
15.0,1.05269e-07
15.0,1.05369e-07
15.0,1.05441e-07
15.0,1.05536e-07
15.0,1.05643e-07
15.0,1.05742e-07
15.0,1.05824e-07
15.0,1.05919e-07
15.0,1.06004e-07
15.0,1.06105e-07
15.0,1.062e-07
15.0,1.06287e-07
15.0,1.06386e-07
15.0,1.06474e-07
15.0,1.06576e-07
15.0,1.0667e-07
15.0,1.06753e-07
15.0,1.06849e-07
15.0,1.06944e-07
15.0,1.07034e-07
15.0,1.07139e-07
15.0,1.07235e-07
15.0,1.07321e-07
15.0,1.07424e-07
15.0,1.07516e-07
15.0,1.07599e-07
15.0,1.07691e-07
15.0,1.07782e-07
15.0,1.0788e-07
15.0,1.07979e-07
15.0,1.08072e-07
15.0,1.08159e-07
15.0,1.08253e-07
15.0,1.08357e-07
15.0,1.08439e-07
15.0,1.08527e-07
15.0,1.08616e-07
15.0,1.08707e-07
15.0,1.08794e-07
15.0,1.08886e-07
15.0,1.08973e-07
15.0,1.0906e-07
15.0,1.0915e-07
15.0,1.0925e-07
15.0,1.09338e-07
15.0,1.09432e-07
15.0,1.0952e-07
15.0,1.09598e-07
15.0,1.09702e-07
15.0,1.09797e-07
15.0,1.09891e-07
15.0,1.09981e-07
15.0,1.10127e-07
15.0,1.10336e-07
15.0,1.10514e-07
15.0,1.10629e-07
15.0,1.10753e-07
15.0,1.10853e-07
15.0,1.10966e-07
15.0,1.11071e-07
15.0,1.11173e-07
19.0,-9.885e-09
19.0,-2.21647e-09
19.0,3.79101e-09
19.0,8.5607e-09
19.0,1.28795e-08
19.0,1.7035e-08
19.0,2.10869e-08
19.0,2.51521e-08
19.0,2.91704e-08
19.0,3.30941e-08
19.0,3.70576e-08
19.0,4.09953e-08
19.0,4.48371e-08
19.0,4.87059e-08
19.0,5.25689e-08
19.0,5.633e-08
19.0,6.01182e-08
19.0,6.38749e-08
19.0,6.75357e-08
19.0,7.12264e-08
19.0,7.49012e-08
19.0,7.8483e-08
19.0,8.2084e-08
19.0,8.56481e-08
19.0,8.9098e-08
19.0,9.25661e-08
19.0,9.60906e-08
19.0,9.95613e-08
19.0,1.02961e-07
19.0,1.06328e-07
19.0,1.09622e-07
19.0,1.12829e-07
19.0,1.16048e-07
19.0,1.19213e-07
19.0,1.22296e-07
19.0,1.25376e-07
19.0,1.28445e-07
19.0,1.31395e-07
19.0,1.34376e-07
19.0,1.37313e-07
19.0,1.40122e-07
19.0,1.42957e-07
19.0,1.45772e-07
19.0,1.48477e-07
19.0,1.51206e-07
19.0,1.53884e-07
19.0,1.56478e-07
19.0,1.59076e-07
19.0,1.61632e-07
19.0,1.64089e-07
19.0,1.66577e-07
19.0,1.68981e-07
19.0,1.71375e-07
19.0,1.73699e-07
19.0,1.76004e-07
19.0,1.78283e-07
19.0,1.80468e-07
19.0,1.82656e-07
19.0,1.84808e-07
19.0,1.86882e-07
19.0,1.8897e-07
19.0,1.90997e-07
19.0,1.92968e-07
19.0,1.949e-07
19.0,1.96805e-07
19.0,1.98651e-07
19.0,2.00489e-07
19.0,2.02294e-07
19.0,2.04038e-07
19.0,2.05754e-07
19.0,2.07436e-07
19.0,2.09083e-07
19.0,2.10687e-07
19.0,2.12281e-07
19.0,2.13811e-07
19.0,2.1528e-07
19.0,2.16766e-07
19.0,2.18205e-07
19.0,2.19608e-07
19.0,2.20974e-07
