group1,group2,group3
5,4.99707E-08,-30
5,4.29938E-08,-29.8
5,3.93023E-08,-29.6
5,3.68301E-08,-29.4
5,3.45966E-08,-29.2
5,3.27255E-08,-29
5,3.11075E-08,-28.8
5,2.96958E-08,-28.6
5,2.83421E-08,-28.4
5,2.71842E-08,-28.2
5,2.61428E-08,-28
5,2.51481E-08,-27.8
5,2.42172E-08,-27.6
5,2.33476E-08,-27.4
5,2.24742E-08,-27.2
5,2.16309E-08,-27
5,2.08396E-08,-26.8
5,2.01177E-08,-26.6
5,1.94124E-08,-26.4
5,1.8748E-08,-26.2
5,1.81101E-08,-26
5,1.75115E-08,-25.8
5,1.69808E-08,-25.6
5,1.64761E-08,-25.4
5,1.5977E-08,-25.2
5,1.55293E-08,-25
5,1.50921E-08,-24.8
5,1.4696E-08,-24.6
5,1.42977E-08,-24.4
5,1.39148E-08,-24.2
5,1.35523E-08,-24
5,1.3218E-08,-23.8
5,1.29886E-08,-23.6
5,1.25821E-08,-23.4
5,1.22898E-08,-23.2
5,1.19929E-08,-23
5,1.17999E-08,-22.8
5,1.14724E-08,-22.6
5,1.1237E-08,-22.4
5,1.11064E-08,-22.2
5,1.08581E-08,-22
5,1.05939E-08,-21.8
5,1.05107E-08,-21.6
5,1.02901E-08,-21.4
5,1.0172E-08,-21.2
5,1.00452E-08,-21
5,1.0017E-08,-20.8
5,9.9122E-09,-20.6
5,9.7838E-09,-20.4
5,9.6508E-09,-20.2
5,9.5315E-09,-20
5,9.401E-09,-19.8
5,9.2688E-09,-19.6
5,9.153E-09,-19.4
5,9.0362E-09,-19.2
5,8.908E-09,-19
5,8.7933E-09,-18.8
5,8.76112E-09,-18.6
5,8.17509E-09,-18.4
5,8.01748E-09,-18.2
5,7.85122E-09,-18
5,7.68173E-09,-17.8
5,7.53978E-09,-17.6
5,7.42132E-09,-17.4
5,7.28677E-09,-17.2
5,7.1561E-09,-17
5,7.03119E-09,-16.8
5,6.9027E-09,-16.6
5,6.78619E-09,-16.4
5,6.66896E-09,-16.2
5,6.53929E-09,-16
5,6.41214E-09,-15.8
5,6.29711E-09,-15.6
5,6.16347E-09,-15.4
5,6.03369E-09,-15.2
5,5.92077E-09,-15
5,5.94286E-09,-14.8
5,5.6694E-09,-14.6
5,5.5544E-09,-14.4
5,5.58417E-09,-14.2
5,5.31556E-09,-14
5,5.18448E-09,-13.8
5,5.05975E-09,-13.6
5,5.09339E-09,-13.4
5,4.82557E-09,-13.2
5,4.70911E-09,-13
5,4.58452E-09,-12.8
5,4.63234E-09,-12.6
5,4.36124E-09,-12.4
5,4.2553E-09,-12.2
5,4.29469E-09,-12
5,4.18519E-09,-11.8
5,3.92653E-09,-11.6
5,3.95878E-09,-11.4
5,3.70793E-09,-11.2
5,3.58897E-09,-11
5,3.64081E-09,-10.8
5,3.38299E-09,-10.6
5,3.4262E-09,-10.4
5,3.3241E-09,-10.2
5,3.06706E-09,-10
5,2.96759E-09,-9.8
5,3.05991E-09,-9.6
5,2.97024E-09,-9.4
5,2.71912E-09,-9.2
5,2.76555E-09,-9
5,2.67053E-09,-8.8
